bbox, 1876.8348, 541.5902, -1540.0000, 1270.0000, 700.0000, 1050.0000
cut, 2.7619, 1.0344, -0.9331, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.7600, 1.0344, -0.9378, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.7580, 1.0344, -0.9425, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.7560, 1.0344, -0.9471, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.7540, 1.0344, -0.9517, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.7519, 1.0344, -0.9564, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.7499, 1.0344, -0.9609, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.7478, 1.0344, -0.9655, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.7457, 1.0344, -0.9700, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.7436, 1.0344, -0.9745, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.7414, 1.0344, -0.9790, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.7393, 1.0344, -0.9835, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.7371, 1.0344, -0.9880, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.7349, 1.0344, -0.9924, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.7327, 1.0344, -0.9968, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.7305, 1.0344, -1.0012, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.7282, 1.0344, -1.0055, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.7260, 1.0344, -1.0099, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.7237, 1.0344, -1.0142, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.7214, 1.0344, -1.0185, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.7191, 1.0344, -1.0227, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.7167, 1.0344, -1.0270, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.7143, 1.0344, -1.0312, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.7120, 1.0344, -1.0354, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.7096, 1.0344, -1.0396, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.7071, 1.0344, -1.0438, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.7047, 1.0344, -1.0479, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.7022, 1.0344, -1.0520, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.6998, 1.0344, -1.0561, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.6973, 1.0344, -1.0602, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.6948, 1.0344, -1.0642, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.6922, 1.0344, -1.0683, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.6897, 1.0344, -1.0723, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.6871, 1.0344, -1.0763, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.6845, 1.0344, -1.0802, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.6819, 1.0344, -1.0842, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.6793, 1.0344, -1.0881, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.6766, 1.0344, -1.0920, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.6739, 1.0344, -1.0958, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.6713, 1.0344, -1.0997, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.6685, 1.0344, -1.1035, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.6658, 1.0344, -1.1073, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.6631, 1.0344, -1.1111, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.6603, 1.0344, -1.1149, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.6575, 1.0344, -1.1186, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.6547, 1.0344, -1.1223, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.6519, 1.0344, -1.1260, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.6491, 1.0344, -1.1297, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.6462, 1.0344, -1.1333, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.6433, 1.0344, -1.1370, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.6404, 1.0344, -1.1406, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.6375, 1.0344, -1.1442, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.6346, 1.0344, -1.1477, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.6316, 1.0344, -1.1513, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.6286, 1.0344, -1.1548, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.6257, 1.0344, -1.1583, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.6226, 1.0344, -1.1618, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.6196, 1.0344, -1.1652, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.6166, 1.0344, -1.1686, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.6135, 1.0344, -1.1720, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.6104, 1.0344, -1.1754, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.6073, 1.0344, -1.1788, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.6042, 1.0344, -1.1821, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.6010, 1.0344, -1.1855, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.5979, 1.0344, -1.1887, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.5947, 1.0344, -1.1920, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.5915, 1.0344, -1.1953, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.5882, 1.0344, -1.1985, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.5850, 1.0344, -1.2017, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.5817, 1.0344, -1.2049, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.5785, 1.0344, -1.2081, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.5752, 1.0344, -1.2112, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.5718, 1.0344, -1.2143, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.5685, 1.0344, -1.2174, 0.000000, 1.000000, 0.000000, 0.000000
