bbox, -467.7989, 1848.5463, -1670.8638, 1800.0001, 700.7219, 1200.0000
cut, 0.6167, 2.2554, -0.7690, 0.076354, -0.608672, 0.783598, -0.098297
cut, 0.6118, 2.2542, -0.7690, 0.074805, -0.608864, 0.783846, -0.096303
cut, 0.6070, 2.2530, -0.7690, 0.073251, -0.609053, 0.784089, -0.094303
cut, 0.6022, 2.2517, -0.7690, 0.071693, -0.609239, 0.784328, -0.092297
cut, 0.5973, 2.2505, -0.7690, 0.070131, -0.609420, 0.784562, -0.090286
cut, 0.5925, 2.2492, -0.7690, 0.068564, -0.609599, 0.784791, -0.088269
cut, 0.5876, 2.2480, -0.7690, 0.066994, -0.609773, 0.785016, -0.086247
cut, 0.5828, 2.2468, -0.7690, 0.065419, -0.609944, 0.785236, -0.084220
cut, 0.5779, 2.2455, -0.7689, 0.063840, -0.610111, 0.785451, -0.082187
cut, 0.5731, 2.2443, -0.7689, 0.062258, -0.610275, 0.785662, -0.080150
cut, 0.5682, 2.2431, -0.7689, 0.060671, -0.610435, 0.785867, -0.078108
cut, 0.5634, 2.2418, -0.7689, 0.059081, -0.610591, 0.786068, -0.076061
cut, 0.5585, 2.2406, -0.7689, 0.057488, -0.610743, 0.786264, -0.074009
cut, 0.5537, 2.2393, -0.7689, 0.055890, -0.610891, 0.786455, -0.071953
cut, 0.5489, 2.2381, -0.7689, 0.054289, -0.611035, 0.786641, -0.069892
cut, 0.5440, 2.2369, -0.7689, 0.052685, -0.611176, 0.786821, -0.067827
cut, 0.5392, 2.2356, -0.7689, 0.051078, -0.611312, 0.786997, -0.065757
cut, 0.5343, 2.2344, -0.7689, 0.049467, -0.611445, 0.787168, -0.063684
cut, 0.5295, 2.2332, -0.7689, 0.047853, -0.611573, 0.787333, -0.061606
cut, 0.5246, 2.2319, -0.7689, 0.046237, -0.611697, 0.787493, -0.059525
cut, 0.5198, 2.2307, -0.7689, 0.044617, -0.611818, 0.787648, -0.057439
cut, 0.5149, 2.2295, -0.7689, 0.042994, -0.611934, 0.787797, -0.055350
cut, 0.5101, 2.2282, -0.7688, 0.041369, -0.612046, 0.787942, -0.053258
cut, 0.5053, 2.2270, -0.7688, 0.039741, -0.612154, 0.788080, -0.051162
cut, 0.5004, 2.2257, -0.7688, 0.038111, -0.612257, 0.788214, -0.049063
cut, 0.4956, 2.2245, -0.7688, 0.036478, -0.612357, 0.788342, -0.046961
cut, 0.4907, 2.2233, -0.7688, 0.034842, -0.612452, 0.788465, -0.044856
cut, 0.4859, 2.2220, -0.7688, 0.033205, -0.612543, 0.788582, -0.042748
cut, 0.4810, 2.2208, -0.7688, 0.031565, -0.612630, 0.788693, -0.040637
cut, 0.4762, 2.2196, -0.7688, 0.029924, -0.612712, 0.788799, -0.038523
cut, 0.4713, 2.2183, -0.7688, 0.028280, -0.612790, 0.788900, -0.036407
cut, 0.4665, 2.2171, -0.7688, 0.026634, -0.612864, 0.788995, -0.034289
cut, 0.4617, 2.2158, -0.7688, 0.024987, -0.612933, 0.789084, -0.032168
cut, 0.4568, 2.2146, -0.7688, 0.023338, -0.612998, 0.789168, -0.030046
