bbox, -754.0833, 1456.7267, -1744.6004, 1510.2125, 587.9106, 1006.8083
cut, 0.4450, 2.2529, -0.6544, 0.172290, -0.588751, 0.757952, -0.221805
cut, 0.4402, 2.2517, -0.6544, 0.170938, -0.589145, 0.758459, -0.220064
cut, 0.4353, 2.2505, -0.6543, 0.169578, -0.589538, 0.758965, -0.218313
cut, 0.4305, 2.2492, -0.6543, 0.168208, -0.589930, 0.759470, -0.216550
cut, 0.4256, 2.2480, -0.6543, 0.166830, -0.590321, 0.759974, -0.214776
cut, 0.4208, 2.2468, -0.6543, 0.165443, -0.590712, 0.760476, -0.212990
cut, 0.4160, 2.2455, -0.6543, 0.164047, -0.591101, 0.760977, -0.211193
cut, 0.4111, 2.2443, -0.6543, 0.162642, -0.591489, 0.761477, -0.209384
cut, 0.4063, 2.2430, -0.6543, 0.161228, -0.591876, 0.761975, -0.207564
cut, 0.4014, 2.2418, -0.6543, 0.159806, -0.592262, 0.762471, -0.205732
cut, 0.3966, 2.2406, -0.6543, 0.158374, -0.592646, 0.762966, -0.203889
cut, 0.3917, 2.2393, -0.6543, 0.156933, -0.593029, 0.763460, -0.202034
cut, 0.3869, 2.2381, -0.6543, 0.155484, -0.593411, 0.763951, -0.200168
cut, 0.3820, 2.2369, -0.6543, 0.154025, -0.593791, 0.764441, -0.198290
cut, 0.3772, 2.2356, -0.6543, 0.152558, -0.594170, 0.764928, -0.196401
cut, 0.3724, 2.2344, -0.6543, 0.151081, -0.594547, 0.765414, -0.194500
cut, 0.3675, 2.2332, -0.6542, 0.149596, -0.594922, 0.765897, -0.192588
cut, 0.3627, 2.2319, -0.6542, 0.148101, -0.595296, 0.766378, -0.190664
cut, 0.3578, 2.2307, -0.6542, 0.146598, -0.595668, 0.766857, -0.188729
cut, 0.3530, 2.2294, -0.6542, 0.145086, -0.596038, 0.767334, -0.186782
cut, 0.3481, 2.2282, -0.6542, 0.143565, -0.596407, 0.767808, -0.184824
cut, 0.3433, 2.2270, -0.6542, 0.142035, -0.596773, 0.768279, -0.182854
cut, 0.3384, 2.2257, -0.6542, 0.140496, -0.597137, 0.768748, -0.180873
cut, 0.3336, 2.2245, -0.6542, 0.138948, -0.597499, 0.769214, -0.178880
cut, 0.3288, 2.2233, -0.6542, 0.137391, -0.597859, 0.769677, -0.176876
cut, 0.3239, 2.2220, -0.6542, 0.135826, -0.598217, 0.770138, -0.174860
cut, 0.3191, 2.2208, -0.6542, 0.134251, -0.598572, 0.770595, -0.172834
cut, 0.3142, 2.2195, -0.6542, 0.132668, -0.598925, 0.771050, -0.170795
cut, 0.3094, 2.2183, -0.6542, 0.131076, -0.599275, 0.771501, -0.168746
cut, 0.3045, 2.2171, -0.6542, 0.129475, -0.599623, 0.771949, -0.166685
cut, 0.2997, 2.2158, -0.6541, 0.127866, -0.599968, 0.772393, -0.164613
cut, 0.2948, 2.2146, -0.6541, 0.126248, -0.600311, 0.772834, -0.162530
cut, 0.2900, 2.2134, -0.6541, 0.124621, -0.600651, 0.773271, -0.160436
cut, 0.2852, 2.2121, -0.6541, 0.122986, -0.600988, 0.773705, -0.158330
cut, 0.2803, 2.2109, -0.6541, 0.121342, -0.601322, 0.774135, -0.156214
cut, 0.2755, 2.2097, -0.6541, 0.119689, -0.601653, 0.774562, -0.154087
cut, 0.2706, 2.2084, -0.6541, 0.118028, -0.601981, 0.774984, -0.151948
cut, 0.2658, 2.2072, -0.6541, 0.116359, -0.602306, 0.775402, -0.149799
cut, 0.2609, 2.2059, -0.6541, 0.114681, -0.602627, 0.775816, -0.147640
cut, 0.2561, 2.2047, -0.6541, 0.112995, -0.602946, 0.776226, -0.145469
cut, 0.2512, 2.2035, -0.6541, 0.111301, -0.603261, 0.776632, -0.143288
cut, 0.2464, 2.2022, -0.6541, 0.109599, -0.603572, 0.777033, -0.141096
cut, 0.2416, 2.2010, -0.6541, 0.107888, -0.603881, 0.777430, -0.138894
cut, 0.2367, 2.1998, -0.6541, 0.106169, -0.604185, 0.777822, -0.136682
cut, 0.2319, 2.1985, -0.6540, 0.104443, -0.604486, 0.778209, -0.134459
cut, 0.2270, 2.1973, -0.6540, 0.102708, -0.604783, 0.778592, -0.132226
cut, 0.2222, 2.1960, -0.6540, 0.100966, -0.605076, 0.778969, -0.129983
cut, 0.2173, 2.1948, -0.6540, 0.099216, -0.605366, 0.779342, -0.127730
cut, 0.2125, 2.1936, -0.6540, 0.097458, -0.605651, 0.779709, -0.125467
cut, 0.2076, 2.1923, -0.6540, 0.095693, -0.605933, 0.780072, -0.123194
cut, 0.2028, 2.1911, -0.6540, 0.093920, -0.606210, 0.780429, -0.120912
cut, 0.1979, 2.1899, -0.6540, 0.092140, -0.606483, 0.780780, -0.118620
cut, 0.1931, 2.1886, -0.6540, 0.090352, -0.606752, 0.781126, -0.116318
cut, 0.1883, 2.1874, -0.6540, 0.088557, -0.607017, 0.781467, -0.114007
cut, 0.1834, 2.1862, -0.6540, 0.086755, -0.607277, 0.781802, -0.111688
cut, 0.1786, 2.1849, -0.6540, 0.084946, -0.607533, 0.782131, -0.109359
cut, 0.1737, 2.1837, -0.6540, 0.083130, -0.607784, 0.782454, -0.107021
cut, 0.1689, 2.1824, -0.6540, 0.081307, -0.608030, 0.782772, -0.104674
cut, 0.1640, 2.1812, -0.6539, 0.079478, -0.608272, 0.783083, -0.102319
cut, 0.1592, 2.1800, -0.6539, 0.077642, -0.608509, 0.783388, -0.099955
cut, 0.1543, 2.1787, -0.6539, 0.075799, -0.608741, 0.783687, -0.097583
cut, 0.1495, 2.1775, -0.6539, 0.073950, -0.608969, 0.783980, -0.095203
cut, 0.1447, 2.1763, -0.6539, 0.072095, -0.609191, 0.784266, -0.092815
cut, 0.1398, 2.1750, -0.6539, 0.070234, -0.609409, 0.784546, -0.090418
cut, 0.1350, 2.1738, -0.6539, 0.068367, -0.609621, 0.784820, -0.088015
cut, 0.1301, 2.1725, -0.6539, 0.066494, -0.609828, 0.785086, -0.085603
cut, 0.1253, 2.1713, -0.6539, 0.064615, -0.610030, 0.785346, -0.083184
cut, 0.1204, 2.1701, -0.6539, 0.062730, -0.610227, 0.785599, -0.080758
cut, 0.1156, 2.1688, -0.6539, 0.060841, -0.610418, 0.785846, -0.078325
cut, 0.1107, 2.1676, -0.6539, 0.058945, -0.610604, 0.786085, -0.075886
cut, 0.1059, 2.1664, -0.6539, 0.057045, -0.610784, 0.786317, -0.073439
cut, 0.1011, 2.1651, -0.6539, 0.055140, -0.610959, 0.786543, -0.070986
